date,close,open,high,low,volume,change
2023-01-25,4257.41,4222.0,4258.99,4222.0,20.0,-1.69
2023-01-24,4330.62,4240.0,4265.17,4222.0,40.0,1.82
2023-01-23,4253.12,4222.0,4280.0,4222.0,20.0,-0.43
2023-01-20,4271.44,4222.0,4295.38,4222.0,20.0,-0.56
2023-01-19,4295.38,4322.41,4391.49,4222.0,30.0,-0.63
2023-01-18,4322.41,4359.17,4430.0,4320.0,30.0,-0.84
2023-01-17,4359.17,4444.0,4444.0,4340.0,20.0,-1.91
2023-01-16,4444.0,4444.0,4475.25,4387.61,10.0,0.0
2023-01-13,4444.0,4476.5,4502.69,4417.5,390.0,-2.08
2023-01-12,4538.25,4507.2,4507.2,4444.0,870.0,-0.34
2023-01-11,4553.6,4507.2,4507.2,4444.0,690.0,0.0
2023-01-10,4553.6,4488.5,4507.2,4444.0,1060.0,0.21
2023-01-09,4544.25,4444.0,4491.77,4444.0,680.0,0.06
2023-01-06,4541.5,4477.2,4483.0,4444.0,550.0,0.06
2023-01-05,4538.6,4472.0,4477.42,4444.0,1070.0,0.06
2023-01-04,4536.0,4460.0,4472.0,4444.0,1040.0,1.7
2023-01-03,4460.0,4461.5,4464.91,4444.0,920.0,-0.03
2023-01-02,4461.5,4444.0,4463.23,4444.0,400.0,0.01
2022-12-30,4461.0,4458.0,4461.0,4443.0,500.0,0.07
2022-12-29,4458.0,4456.0,4458.0,4440.0,490.0,0.04
2022-12-28,4456.0,4448.0,4456.0,4440.0,500.0,0.18
2022-12-27,4448.0,4444.0,4449.36,4351.61,520.0,0.09
2022-12-26,4444.0,4433.0,4444.0,4430.0,440.0,0.2
2022-12-23,4435.0,4430.0,4438.37,4420.0,550.0,0.11
2022-12-22,4430.0,4425.0,4430.42,4420.0,540.0,0.11
2022-12-21,4425.0,4412.0,4427.34,4410.0,590.0,0.29
2022-12-20,4412.0,4407.2,4419.43,4400.0,760.0,0.11
2022-12-19,4407.2,4395.0,4410.19,4395.0,560.0,0.0
2022-12-16,4407.2,4405.0,4407.2,4395.0,1070.0,0.05
2022-12-15,4405.0,4396.0,4405.0,4390.0,940.0,0.2
2022-12-14,4396.0,4398.5,4398.5,4380.0,850.0,-0.06
2022-12-13,4398.5,4387.45,4398.5,4360.0,890.0,0.19
2022-12-12,4390.0,4383.52,4390.0,4381.52,510.0,0.0
2022-12-09,4390.0,4355.0,4390.0,4355.0,1110.0,0.8
2022-12-08,4355.0,4375.0,4379.32,4350.65,1070.0,-0.46
2022-12-07,4375.0,4365.0,4375.0,4345.0,1070.0,0.23
2022-12-06,4365.0,4361.68,4367.18,4345.0,1100.0,-0.05
2022-12-05,4367.0,4350.0,4367.0,4345.0,810.0,0.18
2022-12-02,4359.0,4359.0,4359.0,4343.0,950.0,0.0
2022-12-01,4359.0,4348.0,4359.0,4340.0,1000.0,0.25
2022-11-30,4348.0,4350.0,4350.0,4335.0,980.0,-0.05
2022-11-29,4350.0,4352.0,4352.0,4331.0,1040.0,-0.05
2022-11-28,4352.0,4305.5,4352.0,4222.0,630.0,0.79
2022-11-25,4317.7,4327.5,4328.0,4222.0,1050.0,-0.23
2022-11-24,4327.5,4318.0,4327.5,4222.0,1090.0,0.22
2022-11-23,4318.0,4315.7,4318.99,4222.0,1080.0,0.05
2022-11-22,4315.7,4303.5,4317.0,4222.0,1040.0,0.28
2022-11-21,4303.5,4302.4,4307.43,4222.0,660.0,0.15
2022-11-18,4297.0,4293.5,4302.4,4222.0,1060.0,0.08
2022-11-17,4293.5,4292.0,4295.43,4222.0,710.0,0.09
2022-11-16,4289.7,4290.0,4292.0,4222.0,570.0,-0.01
2022-11-15,4290.0,4288.5,4290.0,4222.0,970.0,0.03
2022-11-14,4288.5,4222.0,4288.5,4222.0,670.0,0.2
2022-11-11,4280.0,4267.16,4282.0,4222.0,940.0,0.3
2022-11-10,4267.16,4279.0,4285.0,4222.0,1080.0,-0.28
2022-11-09,4279.0,4262.18,4279.0,4222.0,1080.0,0.39
2022-11-08,4262.18,4258.35,4275.0,4222.0,1090.0,0.09
2022-11-07,4258.35,4222.0,4270.0,4222.0,700.0,-0.27
2022-11-04,4270.0,4260.0,4270.0,4222.0,590.0,0.23
2022-11-03,4260.0,4260.0,4260.0,4222.0,1000.0,0.0
2022-11-02,4260.0,4255.0,4260.0,4222.0,930.0,0.12
2022-11-01,4255.0,4255.0,4255.0,4222.0,990.0,0.0
2022-10-31,4255.0,4249.67,4260.0,4222.0,670.0,0.09
2022-10-28,4251.0,4247.0,4251.0,4222.0,650.0,0.09
2022-10-27,4247.0,4236.0,4247.0,4222.0,1080.0,-0.49
2022-10-26,4268.0,4242.0,4248.0,4218.78,1090.0,0.61
2022-10-25,4242.0,4243.5,4243.5,4208.0,1020.0,0.81
2022-10-24,4208.0,4209.0,4243.5,4208.0,430.0,-1.22
2022-10-21,4260.0,4232.5,4237.0,4209.0,1100.0,-0.15
2022-10-20,4266.25,4237.5,4237.5,4205.0,1020.0,0.68
2022-10-19,4237.5,4209.0,4237.5,4195.0,860.0,-0.52
2022-10-18,4259.75,4222.0,4222.0,4195.0,1060.0,-0.03
2022-10-17,4261.0,4208.5,4230.0,4190.0,740.0,-0.09
2022-10-14,4265.0,4203.5,4230.0,4190.0,1050.0,0.31
2022-10-13,4251.75,4212.0,4217.6,4189.0,1090.0,-0.1
2022-10-12,4256.0,4213.0,4213.0,4185.0,1050.0,-0.01
2022-10-11,4256.5,4202.5,4213.0,4180.0,680.0,0.12
2022-10-10,4251.25,4183.36,4202.5,4180.0,530.0,0.02
2022-10-07,4250.33,4198.0,4200.67,4183.36,1000.0,0.03
2022-10-06,4249.0,4196.7,4198.0,4175.0,940.0,0.02
2022-10-05,4248.35,4198.0,4198.0,4133.0,1060.0,-0.02
2022-10-04,4249.0,4200.0,4200.0,4133.0,1030.0,2.81
2022-10-03,4133.0,4192.6,4200.0,4133.0,620.0,-2.67
2022-09-30,4246.3,4153.0,4192.6,4047.0,1050.0,0.47
2022-09-29,4226.5,4152.0,4185.0,4133.0,1060.0,0.01
2022-09-28,4226.0,4170.0,4181.5,4115.0,1060.0,-0.21
2022-09-27,4235.0,4160.0,4170.0,4115.0,970.0,0.12
2022-09-26,4230.0,4133.02,4160.0,4115.0,530.0,0.06
2022-09-23,4227.5,4155.0,4155.0,4113.26,950.0,0.0
2022-09-22,4227.5,4137.0,4155.0,4095.0,810.0,0.21
2022-09-21,4218.5,4137.14,4137.14,4095.0,1060.0,0.0
2022-09-20,4218.57,4122.42,4137.14,4095.0,1050.0,0.17
2022-09-19,4211.21,4130.0,4137.71,4090.0,1000.0,-0.09
2022-09-16,4215.0,4130.0,4130.0,4090.0,1120.0,0.0
2022-09-15,4215.0,4130.0,4130.0,4095.0,1170.0,0.0
2022-09-14,4215.0,4132.0,4134.0,4101.0,840.0,-0.02
2022-09-13,4216.0,4130.0,4132.0,4100.0,1070.0,0.02
2022-09-12,4215.0,4113.26,4130.0,4095.0,680.0,0.24
2022-09-09,4205.0,4130.0,4130.0,4090.0,1090.0,-0.24
2022-09-08,4215.0,4113.5,4130.0,4090.0,1080.0,0.2
2022-09-07,4206.75,4122.0,4122.0,4085.0,770.0,-0.1
2022-09-06,4211.0,4122.5,4123.5,4080.0,560.0,-0.01
2022-09-05,4211.25,4112.6,4122.5,4080.0,490.0,0.12
2022-09-02,4206.3,4112.6,4115.25,4080.0,770.0,0.0
2022-09-01,4206.3,4112.6,4112.6,4085.0,1080.0,0.0
2022-08-31,4206.3,4111.0,4116.75,4085.0,610.0,0.02
2022-08-30,4205.5,4113.0,4113.0,4090.0,1040.0,-0.02
2022-08-29,4206.5,4104.22,4118.79,4085.0,430.0,0.04
2022-08-26,4205.0,4114.0,4118.79,4080.0,1090.0,-0.05
2022-08-25,4207.0,4116.0,4116.0,4080.0,1110.0,-0.02
2022-08-24,4208.0,4115.0,4116.0,4085.0,1120.0,0.01
2022-08-23,4207.5,4101.81,4117.83,4090.0,630.0,2.58
2022-08-22,4101.81,4110.0,4110.0,4085.0,20.0,-0.56
2022-08-19,4125.0,4110.0,4154.7,4080.0,710.0,-1.9
2022-08-18,4205.0,4097.6,4154.7,4080.0,610.0,2.62
2022-08-17,4097.6,4107.59,4111.7,4085.0,30.0,-0.34
2022-08-16,4111.7,4111.7,4111.7,4070.0,20.0,0.16
2022-08-15,4105.0,4096.7,4111.74,4060.0,20.0,0.2
2022-08-12,4096.7,4115.0,4115.0,4060.0,270.0,-2.63
2022-08-11,4207.5,4115.0,4115.0,4059.0,880.0,0.0
2022-08-10,4207.5,4116.0,4150.0,4097.02,1090.0,-0.01
2022-08-09,4208.0,4110.0,4150.0,4075.0,1090.0,0.07
2022-08-08,4205.0,4105.0,4140.0,4075.0,580.0,-0.13
2022-08-05,4210.5,4121.0,4121.0,4075.0,1080.0,0.0
2022-08-04,4210.5,4114.3,4140.0,4097.62,1040.0,0.08
2022-08-03,4207.15,4114.3,4140.0,4096.14,910.0,0.0
2022-08-02,4207.15,4115.0,4120.0,4068.0,850.0,-0.01
2022-08-01,4207.5,4095.29,4130.0,4094.14,620.0,-0.05
2022-07-29,4209.75,4125.15,4140.0,4087.0,1180.0,-0.07
2022-07-28,4212.58,4126.6,4126.6,4093.29,920.0,-0.02
2022-07-27,4213.3,4125.2,4126.6,4090.0,750.0,0.02
2022-07-26,4212.6,4121.5,4125.2,4092.69,860.0,0.04
2022-07-25,4210.75,4125.0,4125.0,4092.95,620.0,-0.04
2022-07-22,4212.5,4110.0,4126.0,4097.91,340.0,0.18
2022-07-21,4205.0,4120.0,4120.0,4084.35,980.0,-0.12
2022-07-20,4210.0,4084.35,4125.0,4084.35,1080.0,-0.06
2022-07-19,4212.5,4084.35,4125.0,4084.35,580.0,3.08
2022-07-18,4086.81,4114.0,4114.0,4082.21,430.0,-2.86
2022-07-15,4207.0,4098.16,4121.0,4082.21,320.0,2.66
2022-07-14,4098.16,4098.16,4098.16,4080.21,10.0,0.0
2022-07-13,4098.16,4089.0,4098.16,4084.91,460.0,0.22
2022-07-12,4089.0,4087.5,4090.55,4087.5,1040.0,0.04
2022-07-11,4087.5,4085.0,4090.55,4080.92,720.0,0.06
2022-07-08,4085.0,4086.5,4093.0,4075.92,1100.0,-0.04
2022-07-07,4086.5,4080.0,4090.59,4075.92,1130.0,0.16
2022-07-06,4080.0,4080.0,4088.67,4065.93,1000.0,0.0
2022-07-05,4080.0,4066.0,4088.0,4054.0,1110.0,0.34
2022-07-04,4066.0,4065.0,4072.99,4054.0,1070.0,0.02
2022-07-01,4065.0,4045.0,4072.89,4045.0,820.0,0.49
2022-06-30,4045.0,4050.0,4072.57,4045.0,1050.0,-0.12
2022-06-29,4050.0,4050.0,4066.7,4045.95,960.0,0.0
2022-06-28,4050.0,4040.5,4054.16,4040.5,1070.0,0.24
2022-06-27,4040.5,4052.59,4054.08,4035.22,630.0,0.01
2022-06-24,4040.0,4045.0,4052.59,4035.0,540.0,-0.12
2022-06-23,4045.0,4022.35,4046.82,4022.35,570.0,-0.4
2022-06-22,4061.18,4035.0,4040.0,4022.35,940.0,-0.16
2022-06-21,4067.5,4031.0,4035.0,4008.99,1100.0,0.05
2022-06-20,4065.5,4017.9,4031.0,4013.0,660.0,0.22
2022-06-17,4056.5,4015.0,4019.48,4008.99,530.0,-0.02
2022-06-16,4057.5,4010.0,4017.9,3990.0,980.0,0.06
2022-06-15,4055.0,4015.0,4017.9,4009.38,1010.0,-0.06
2022-06-14,4057.5,4008.0,4023.0,4003.99,1040.0,0.09
2022-06-13,4054.0,4001.64,4015.87,3995.0,620.0,0.0
2022-06-10,4054.0,4002.0,4013.0,3999.64,540.0,0.07
2022-06-09,4051.0,4005.0,4005.0,3980.0,530.0,-0.04
2022-06-08,4052.5,4001.5,4005.0,3988.8,580.0,0.04
2022-06-07,4050.75,4002.0,4002.0,3985.0,740.0,-0.01
2022-06-06,4051.0,3988.84,4002.0,3987.0,540.0,0.0
2022-06-03,4051.0,3995.0,4002.0,3988.84,1080.0,0.09
2022-06-02,4047.5,3990.0,3995.0,3985.0,1070.0,0.06
2022-06-01,4045.0,3995.0,3995.0,3983.0,1080.0,-0.06
2022-05-31,4047.5,4045.0,4047.5,3990.13,790.0,0.06
2022-05-30,4045.0,4044.5,4045.0,3988.84,500.0,0.01
2022-05-27,4044.5,4042.5,4044.5,3984.08,670.0,1.15
2022-05-26,3998.58,4042.5,4042.5,3985.0,1060.0,-1.09
2022-05-25,4042.5,4040.5,4042.5,3984.08,1130.0,0.05
2022-05-24,4040.5,4042.0,4042.0,3987.5,1090.0,-0.04
2022-05-23,4042.0,4042.5,4042.5,3983.0,750.0,-0.01
2022-05-20,4042.5,4044.75,4044.75,3987.48,890.0,-0.06
2022-05-19,4044.75,4044.5,4044.75,3988.32,1020.0,1.01
2022-05-18,4004.5,4044.5,4045.0,3988.32,1020.0,-0.99
2022-05-17,4044.5,4046.5,4046.5,3991.67,730.0,-0.05
2022-05-16,4046.5,4004.58,4046.5,3991.91,250.0,0.11
2022-05-13,4042.0,4046.5,4046.5,3988.45,1060.0,-0.11
2022-05-12,4046.5,4040.0,4046.5,3988.45,1040.0,0.16
2022-05-11,4040.0,4045.0,4045.0,3988.45,1090.0,-0.12
2022-05-10,4045.0,4043.5,4045.75,3990.62,1110.0,0.04
